CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR;MATERIAL_TECHUMBRE;DENSIDAD_HOGAR;CONDICION_DE_HABITABILIDAD
TQRMNORXSHJOPNCDEIJAH00863453;2024;3;1;1;1;S;33;3369;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;2;1;1;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;98;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNOPWTHLMOOCDEIJAH00807174;2024;3;1;1;1;S;33;2291;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;400000;2;;2;2;;2;400000;6;;6;6;;7;2618;3;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOSRWHJMPQCDEIJAH00867592;2024;3;1;1;1;S;33;2374;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;840000;5;;5;5;;5;210000;3;;3;3;;3;3570;1;0;2;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOQSTHLMOQCDEIJAH00807517;2024;3;1;1;1;S;33;2307;1;;3;1;;4;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOPRWHMNORCDEIJAH00855420;2024;3;1;1;1;S;33;2884;1;;2;1;;4;1;1;1;;1;1;1;2;2;2;2;2;1;2;0;2;2;2;0;0;0;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;350000;2;;1;2;;2;350000;5;;5;5;;6;3068;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOTXTHJOPSCDEIJAH00862495;2024;3;1;1;1;S;33;3027;2;;3;2;;4;1;1;1;;1;1;2;3;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;0;6;630000;4;;3;3;;3;105000;1;;1;1;;1;4258;1;2;4;5;6;0;Extendido;Material durable;Medio;Regular
TQRMNOPXSHMMOSCDEIJAH00855347;2024;3;1;1;1;S;33;2039;1;;3;2;;2;1;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOPXYHMMOSCDEIJAH00812649;2024;3;1;1;1;S;33;1965;1;;2;1;;1;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;2;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNORXSHMNKMCDEFIAH00851534;2024;3;1;1;43;S;2;1011;1;;5;1;;4;1;1;1;;1;1;1;2;2;2;2;5;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;1;2;2;2;2;5;1;4;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;1;98;0;0;0;Extendido;Material durable;Medio;Buena
TQRMNOSQVHLNKNCDEFIAH00803401;2024;3;1;1;43;S;2;926;1;;2;1;;5;1;1;1;;1;1;1;3;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;8;1;7;1044000;6;7;6;6;;6;130500;2;2;1;1;;1;1786;2;3;4;0;0;0;Extendido;Material durable;Alto;Saludable
TQRMNOQWYHKNKMCDEFIAH00867593;2024;3;1;1;43;S;2;474;1;;4;1;;2;2;1;2;;1;1;1;1;1;1;2;4;2;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;190000;1;1;1;1;;1;190000;3;3;2;2;;2;657;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOQXPHKNKMCDEFIAH00867594;2024;3;1;1;43;S;2;614;1;;1;1;;4;2;1;1;;1;1;1;1;1;1;2;1;1;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;1100000;6;7;7;6;;7;550000;8;8;7;7;;7;1035;1;0;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOSTQHMLKTCDEHLEH00811141;2024;3;1;1;40;N;25;213;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;1;2;480000;2;3;3;;3;3;160000;2;2;3;;2;3;341;2;3;98;0;0;0;Nuclear;Material durable;Medio;Buena
