"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNORPSHLMKUCDEGJBF00804895";2024;2;1;1;43;"S";13;648;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;0;1;300000;"2";"2";"2";"2";"";"2";300000;"6";"7";"6";"6";"";"6";660;97;0;98;0;0;0
"TQRMNOSYYHKLLLCDEGJBF00859769";2024;2;1;1;43;"S";13;989;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;665000;"6";"6";"6";"6";"";"6";221666,67;"5";"5";"4";"5";"";"4";1073;1;0;98;0;0;0
"TQRMNORWUHKLLMCDEGJBF00859287";2024;2;1;1;43;"S";13;768;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;290000;"2";"2";"2";"2";"";"2";290000;"6";"7";"6";"6";"";"6";774;1;0;98;0;0;0
"TQRMNORXVHKLLMCDEGJBF00859656";2024;2;1;1;43;"S";13;757;2;"";5;1;"";2;1;1;1;"";1;1;1;2;2;2;2;5;1;1;1;1;1;2;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;0;1;250000;"2";"2";"2";"2";"";"1";250000;"5";"6";"5";"5";"";"5";772;1;0;98;0;0;0
"TQRMNOPYUHLOKUCDEFOCD00804331";2024;2;1;1;41;"N";8;419;1;"";2;1;"";4;2;1;1;"";1;1;2;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;140000;"1";"1";"1";"";"1";"1";70000;"1";"1";"2";"";"1";"3";541;1;2;98;0;0;0
"TQRMNOQRXHJOLLCDEFOCD00862564";2024;2;1;1;41;"N";8;321;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;1;2;2;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;1;20000;"1";"1";"1";"";"1";"1";5000;"1";"1";"1";"";"1";"1";231;1;0;98;0;0;0
"TQRMNOQRYHJOLLCDEFOCD00862565";2024;2;1;1;41;"N";8;323;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;1;2;3;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;200000;"1";"1";"2";"";"1";"2";50000;"1";"1";"1";"";"1";"2";373;1;0;98;0;0;0
"TQRMNORTPHJOLLCDEFOCD00862566";2024;2;1;1;41;"N";8;303;1;"";2;3;"";4;1;1;1;"";1;1;2;2;2;1;2;2;1;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;171000;"1";"1";"1";"";"1";"2";171000;"4";"4";"5";"";"4";"6";270;1;0;98;0;0;0
"TQRMNORWSHMOLLCDEFOCD00799060";2024;2;1;1;41;"N";8;369;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;1;2;2;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;699000;"6";"6";"8";"";"7";"9";174750;"4";"4";"5";"";"4";"6";432;1;2;98;0;0;0
"TQSMNOQTSHMOLNCDEFOCD00799117";2024;2;1;1;41;"N";8;369;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;3;3;2;0;1;2;2;2;0;1;2;2;"";2;"";1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;368000;"3";"3";"4";"";"3";"5";61333,33;"1";"1";"1";"";"1";"2";469;1;2;98;0;0;0
