CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;V2_02;V2_03;V21_01;V22_01;V5_02;V5_03;V11_01;V11_02;V5_01;V21_02;V21_03;V22_02;V22_03;V2_01
TQRMNOQSPHKMKOCDEFOCD00872339;2024;4;1;1;41;N;8;357;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;8;;2;;1;2;1;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;1;0;1;230000;1;1;1;;1;1;230000;3;3;4;;3;5;464;1;0;98;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNORSRHJOKPCDEFOCD00876913;2024;4;1;1;41;N;8;337;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;2;;2;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;2;0;2;800000;4;5;6;;5;7;400000;6;6;7;;6;8;575;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOSPWHLOKUCDEFPCH00852523;2024;4;1;1;44;N;9;234;1;;1;1;;1;1;1;1;;1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;2;0;2;400000;2;2;1;;2;1;200000;2;3;2;;3;2;275;2;0;98;0;0;0;2;1;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPRSHJOKNCDEGGFB00877021;2024;4;1;1;42;S;10;389;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;;;2;2;;2;2;2;2;2;;1;2;1;1;2;2;2;2;2;3;0;3;280000;1;1;1;1;;1;93333,33;1;1;1;1;;1;529;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOQRRHJOKNCDEGGFB00877022;2024;4;1;1;42;S;10;688;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;635000;3;3;3;3;;3;317500;4;5;5;4;;5;1209;1;0;2;0;0;0;2;1;2;1;2;2;2;2;2;2;2;2;1;1
TQRMNOPSTHMKKOCDEGGFB00809661;2024;4;1;1;42;S;10;276;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;;1;;1;2;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;2200000;9;10;10;9;;9;1100000;10;10;10;9;;10;278;1;0;96;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNOPPWHMMKPCDEGKDB00810150;2024;4;1;1;43;N;14;160;1;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;;2;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;2;0;98;0;0;0;2;1;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOTRQHJMKNCDEHLEH00877023;2024;4;1;1;40;N;25;216;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;3;1;2;1850000;9;9;9;;9;10;616666,67;8;8;9;;8;10;283;1;2;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNORXPHKOKNCDEHLEH00871840;2024;4;1;1;40;N;25;116;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;940000;5;6;6;;6;7;470000;6;7;8;;7;9;149;2;0;98;0;0;0;1;2;2;2;2;2;2;2;2;2;2;1;2;2
TQRMNOQPWHKMKOCDEHLEH00871050;2024;4;1;1;40;N;25;152;1;;3;1;;2;2;1;1;;1;1;1;1;1;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;4;0;4;1880000;9;9;9;;9;10;470000;6;7;8;;7;9;225;3;4;98;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
